"fecha_deteccion","fuente","identificador","fecha_registro","entidad","grupo","nivel_relacion","valor"
2026-08-19 21:33:02,procesos,CO1.REQ.10822260,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,3000000
2026-08-19 21:33:02,procesos,CO1.REQ.10864675,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10866251,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,11841000
2026-08-19 21:33:02,procesos,CO1.REQ.10869498,2026-08-18,CONCEJO DISTRITAL DE SANTIAGO DE CALI,Alcaldía de Cali,Contexto,16275000
2026-08-19 21:33:02,procesos,CO1.REQ.10822043,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10864351,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10865252,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822145,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10861437,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE MOVILIDAD,Alcaldía de Cali,Contexto,5584000
2026-08-19 21:33:02,procesos,CO1.REQ.10862921,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,13020000
2026-08-19 21:33:02,procesos,CO1.REQ.10864041,2026-08-18,GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE DESARROLLO SOCIAL Y PARTICIPACION,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868636,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866515,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,14204000
2026-08-19 21:33:02,procesos,CO1.REQ.10864456,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,3000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868410,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10822063,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10865061,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10863693,2026-08-18,GOBERNACION DEL VALLE DEL CAUCA - SECRETARIA DE DESARROLLO SOCIAL Y PARTICIPACION,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10859728,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL -DEPARTAMENTO ADMINISTRATIVO DE DESARROLLO E INNOVACION INSTITUCIONAL,Alcaldía de Cali,Contexto,14415000
2026-08-19 21:33:02,procesos,CO1.REQ.10864803,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10863183,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,11841000
2026-08-19 21:33:02,procesos,CO1.REQ.10866641,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,15788000
2026-08-19 21:33:02,procesos,CO1.REQ.10821542,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,3500000
2026-08-19 21:33:02,procesos,CO1.REQ.10869227,2026-08-18,DEPARTAMENTO ADMINISTRATIVO DE GESTION DEL MEDIO AMBIENTE DAGMA,Alcaldía de Cali,Contexto,3947000
2026-08-19 21:33:02,procesos,CO1.REQ.10868679,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868799,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,6000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868294,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10800015,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARIA DE VIVIENDA SOCIAL Y HABITAT,Alcaldía de Cali,Contexto,14072000
2026-08-19 21:33:02,procesos,CO1.REQ.10868862,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10866623,2026-08-18,SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,Alcaldía de Cali,Contexto,11841000
2026-08-19 21:33:02,procesos,CO1.REQ.10863351,2026-08-18,"GOBERNACION DEL VALLE- SECRETARIA DE MUJER, EQUIDAD DE GENERO Y DIVERSIDAD SEXUAL",Gobernación del Valle,Contexto,7000000
2026-08-19 21:33:02,procesos,CO1.REQ.10864476,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868863,2026-08-18,CONCEJO DISTRITAL DE SANTIAGO DE CALI,Alcaldía de Cali,Contexto,23100000
2026-08-19 21:33:02,procesos,CO1.REQ.10864668,2026-08-18,GOBERNACIÓN DEL VALLE DEL CAUCA - SECRETARIA DE LAS TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Gobernación del Valle,Contexto,5000000
2026-08-19 21:33:02,procesos,CO1.REQ.10821946,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
2026-08-19 21:33:02,procesos,CO1.REQ.10868556,2026-08-18,SECRETARIA DE MOVILIDAD Y TRANSPORTE,Gobernación del Valle,Contexto,2500000
2026-08-19 21:33:02,procesos,CO1.REQ.10822131,2026-08-18,DEPARTAMENTO DEL VALLE DEL CAUCA - UNIDAD ADMINISTRATIVA ESPECIAL DE IMPUESTOS RENTAS Y GESTION TRIBUTARIA,Gobernación del Valle,Contexto,4000000
